action,condition,effector,event_index,label,n_trials,onset_s,pin_code,plan_duration_s,run_number,sound_id,trial_duration_s,trial_index,trial_order
visual_fixation,grasp,,33,preview_start,,79.850859,,,,,,5,
marker,touch,,34,trial_end,,79.850859,,,,,17.187,4,
marker,grasp,hand,35,trial_start,,79.850859,,5.333,,,,5,
sound_cue,grasp,,36,cue_grasp,,81.850859,10,,,grasp,,5,
sound_go,grasp,,37,go_beep,,87.184254,30,,,go,,5,
marker,grasp,,38,execute_start,,87.185254,,,,,,5,
marker,grasp,,39,iti_start,,89.184254,,,,,,5,
visual_fixation,,,40,iti_fixation,,89.187254,,,,,,5,
visual_fixation,touch,,41,preview_start,,97.184254,,,,,,6,
marker,grasp,,42,trial_end,,97.184254,,,,,17.333,5,
marker,touch,hand,43,trial_start,,97.184254,,5.972,,,,6,
sound_cue,touch,,44,cue_touch,,99.184254,20,,,touch,,6,
sound_go,touch,,45,go_beep,,105.156345,40,,,go,,6,
marker,touch,,46,execute_start,,105.157345,,,,,,6,
marker,touch,,47,iti_start,,107.156345,,,,,,6,
visual_fixation,,,48,iti_fixation,,107.159345,,,,,,6,
visual_fixation,grasp,,49,preview_start,,115.156345,,,,,,7,
marker,touch,,50,trial_end,,115.156345,,,,,17.972,6,
marker,grasp,hand,51,trial_start,,115.156345,,5.815,,,,7,
sound_cue,grasp,,52,cue_grasp,,117.156345,10,,,grasp,,7,
sound_go,grasp,,53,go_beep,,122.971674,30,,,go,,7,
marker,grasp,,54,execute_start,,122.972674,,,,,,7,
marker,grasp,,55,iti_start,,124.971674,,,,,,7,
visual_fixation,,,56,iti_fixation,,124.974674,,,,,,7,
visual_fixation,touch,,57,preview_start,,132.971674,,,,,,8,
marker,grasp,,58,trial_end,,132.971674,,,,,17.815,7,
marker,touch,hand,59,trial_start,,132.971674,,5.369,,,,8,
sound_cue,touch,,60,cue_touch,,134.971674,20,,,touch,,8,
sound_go,touch,,61,go_beep,,140.34084,40,,,go,,8,
marker,touch,,62,execute_start,,140.34184,,,,,,8,
marker,touch,,63,iti_start,,142.34084,,,,,,8,
visual_fixation,,,64,iti_fixation,,142.34384,,,,,,8,
visual_fixation,grasp,,65,preview_start,,150.34084,,,,,,9,
marker,touch,,66,trial_end,,150.34084,,,,,17.369,8,
marker,grasp,hand,67,trial_start,,150.34084,,5.819,,,,9,
sound_cue,grasp,,68,cue_grasp,,152.34084,10,,,grasp,,9,
sound_go,grasp,,69,go_beep,,158.159705,30,,,go,,9,
marker,grasp,,70,execute_start,,158.160705,,,,,,9,
marker,grasp,,71,iti_start,,160.159705,,,,,,9,
visual_fixation,,,72,iti_fixation,,160.162705,,,,,,9,
visual_fixation,touch,,73,preview_start,,168.159705,,,,,,10,
marker,grasp,,74,trial_end,,168.159705,,,,,17.819,9,
marker,touch,hand,75,trial_start,,168.159705,,5.149,,,,10,
sound_cue,touch,,76,cue_touch,,170.159705,20,,,touch,,10,
sound_go,touch,,77,go_beep,,175.3089,40,,,go,,10,
marker,touch,,78,execute_start,,175.3099,,,,,,10,
marker,touch,,79,iti_start,,177.3089,,,,,,10,
visual_fixation,,,80,iti_fixation,,177.3119,,,,,,10,
visual_fixation,grasp,,81,preview_start,,185.3089,,,,,,11,
marker,touch,,82,trial_end,,185.3089,,,,,17.149,10,
marker,grasp,hand,83,trial_start,,185.3089,,5.632,,,,11,
sound_cue,grasp,,84,cue_grasp,,187.3089,10,,,grasp,,11,
sound_go,grasp,,85,go_beep,,192.941186,30,,,go,,11,
marker,grasp,,86,execute_start,,192.942186,,,,,,11,
marker,grasp,,87,iti_start,,194.941186,,,,,,11,
visual_fixation,,,88,iti_fixation,,194.944186,,,,,,11,
visual_fixation,touch,,89,preview_start,,202.941186,,,,,,12,
marker,grasp,,90,trial_end,,202.941186,,,,,17.632,11,
marker,touch,hand,91,trial_start,,202.941186,,5.19,,,,12,
sound_cue,touch,,92,cue_touch,,204.941186,20,,,touch,,12,
sound_go,touch,,93,go_beep,,210.130753,40,,,go,,12,
marker,touch,,94,execute_start,,210.131753,,,,,,12,
marker,touch,,95,iti_start,,212.130753,,,,,,12,
visual_fixation,,,96,iti_fixation,,212.133753,,,,,,12,
visual_fixation,grasp,,97,preview_start,,220.130753,,,,,,13,
marker,touch,,98,trial_end,,220.130753,,,,,17.19,12,
marker,grasp,hand,99,trial_start,,220.130753,,5.235,,,,13,
sound_cue,grasp,,100,cue_grasp,,222.130753,10,,,grasp,,13,
sound_go,grasp,,101,go_beep,,227.365877,30,,,go,,13,
marker,grasp,,102,execute_start,,227.366877,,,,,,13,
marker,grasp,,103,iti_start,,229.365877,,,,,,13,
visual_fixation,,,104,iti_fixation,,229.368877,,,,,,13,
visual_fixation,touch,,105,preview_start,,237.365877,,,,,,14,
marker,grasp,,106,trial_end,,237.365877,,,,,17.235,13,
marker,touch,hand,107,trial_start,,237.365877,,5.858,,,,14,
sound_cue,touch,,108,cue_touch,,239.365877,20,,,touch,,14,
sound_go,touch,,109,go_beep,,245.224208,40,,,go,,14,
marker,touch,,110,execute_start,,245.225208,,,,,,14,
marker,touch,,111,iti_start,,247.224208,,,,,,14,
visual_fixation,,,112,iti_fixation,,247.227208,,,,,,14,
visual_fixation,grasp,,113,preview_start,,255.224208,,,,,,15,
marker,touch,,114,trial_end,,255.224208,,,,,17.858,14,
marker,grasp,hand,115,trial_start,,255.224208,,5.848,,,,15,
sound_cue,grasp,,116,cue_grasp,,257.224208,10,,,grasp,,15,
sound_go,grasp,,117,go_beep,,263.072082,30,,,go,,15,
marker,grasp,,118,execute_start,,263.073082,,,,,,15,
marker,grasp,,119,iti_start,,265.072082,,,,,,15,
visual_fixation,,,120,iti_fixation,,265.075082,,,,,,15,
visual_fixation,touch,,121,preview_start,,273.072082,,,,,,16,
marker,grasp,,122,trial_end,,273.072082,,,,,17.848,15,
marker,touch,hand,123,trial_start,,273.072082,,5.341,,,,16,
sound_cue,touch,,124,cue_touch,,275.072082,20,,,touch,,16,
sound_go,touch,,125,go_beep,,280.413243,40,,,go,,16,
marker,touch,,126,execute_start,,280.414243,,,,,,16,
marker,touch,,127,iti_start,,282.413243,,,,,,16,
visual_fixation,,,128,iti_fixation,,282.416243,,,,,,16,
visual_fixation,grasp,,129,preview_start,,290.413243,,,,,,17,
marker,touch,,130,trial_end,,290.413243,,,,,17.341,16,
marker,grasp,hand,131,trial_start,,290.413243,,5.806,,,,17,
sound_cue,grasp,,132,cue_grasp,,292.413243,10,,,grasp,,17,
sound_go,grasp,,133,go_beep,,298.219,30,,,go,,17,
marker,grasp,,134,execute_start,,298.22,,,,,,17,
marker,grasp,,135,iti_start,,300.219,,,,,,17,
visual_fixation,,,136,iti_fixation,,300.222,,,,,,17,
visual_fixation,touch,,137,preview_start,,308.219,,,,,,18,
marker,grasp,,138,trial_end,,308.219,,,,,17.806,17,
marker,touch,hand,139,trial_start,,308.219,,5.305,,,,18,
sound_cue,touch,,140,cue_touch,,310.219,20,,,touch,,18,
sound_go,touch,,141,go_beep,,315.524238,40,,,go,,18,
marker,touch,,142,execute_start,,315.525238,,,,,,18,
marker,touch,,143,iti_start,,317.524238,,,,,,18,
visual_fixation,,,144,iti_fixation,,317.527238,,,,,,18,
visual_fixation,grasp,,145,preview_start,,325.524238,,,,,,19,
marker,touch,,146,trial_end,,325.524238,,,,,17.305,18,
marker,grasp,hand,147,trial_start,,325.524238,,5.031,,,,19,
sound_cue,grasp,,148,cue_grasp,,327.524238,10,,,grasp,,19,
sound_go,grasp,,149,go_beep,,332.55487,30,,,go,,19,
marker,grasp,,150,execute_start,,332.55587,,,,,,19,
marker,grasp,,151,iti_start,,334.55487,,,,,,19,
visual_fixation,,,152,iti_fixation,,334.55787,,,,,,19,
visual_fixation,touch,,153,preview_start,,342.55487,,,,,,20,
marker,grasp,,154,trial_end,,342.55487,,,,,17.031,19,
marker,touch,hand,155,trial_start,,342.55487,,5.667,,,,20,
sound_cue,touch,,156,cue_touch,,344.55487,20,,,touch,,20,
sound_go,touch,,157,go_beep,,350.221735,40,,,go,,20,
marker,touch,,158,execute_start,,350.222735,,,,,,20,
marker,touch,,159,iti_start,,352.221735,,,,,,20,
visual_fixation,,,160,iti_fixation,,352.224735,,,,,,20,
visual_fixation,grasp,,161,preview_start,,360.221735,,,,,,21,
marker,touch,,162,trial_end,,360.221735,,,,,17.667,20,
marker,grasp,hand,163,trial_start,,360.221735,,5.718,,,,21,
sound_cue,grasp,,164,cue_grasp,,362.221735,10,,,grasp,,21,
sound_go,grasp,,165,go_beep,,367.93934,30,,,go,,21,
marker,grasp,,166,execute_start,,367.94034,,,,,,21,
marker,grasp,,167,iti_start,,369.93934,,,,,,21,
visual_fixation,,,168,iti_fixation,,369.94234,,,,,,21,
visual_fixation,touch,,169,preview_start,,377.93934,,,,,,22,
marker,grasp,,170,trial_end,,377.93934,,,,,17.718,21,
marker,touch,hand,171,trial_start,,377.93934,,5.466,,,,22,
sound_cue,touch,,172,cue_touch,,379.93934,20,,,touch,,22,
sound_go,touch,,173,go_beep,,385.405178,40,,,go,,22,
marker,touch,,174,execute_start,,385.406178,,,,,,22,
marker,touch,,175,iti_start,,387.405178,,,,,,22,
visual_fixation,,,176,iti_fixation,,387.408178,,,,,,22,
visual_fixation,grasp,,177,preview_start,,395.405178,,,,,,23,
marker,touch,,178,trial_end,,395.405178,,,,,17.466,22,
marker,grasp,hand,179,trial_start,,395.405178,,5.755,,,,23,
sound_cue,grasp,,180,cue_grasp,,397.405178,10,,,grasp,,23,
sound_go,grasp,,181,go_beep,,403.160492,30,,,go,,23,
marker,grasp,,182,execute_start,,403.161492,,,,,,23,
marker,grasp,,183,iti_start,,405.160492,,,,,,23,
visual_fixation,,,184,iti_fixation,,405.163492,,,,,,23,
visual_fixation,touch,,185,preview_start,,413.160492,,,,,,24,
marker,grasp,,186,trial_end,,413.160492,,,,,17.755,23,
marker,touch,hand,187,trial_start,,413.160492,,5.201,,,,24,
sound_cue,touch,,188,cue_touch,,415.160492,20,,,touch,,24,
sound_go,touch,,189,go_beep,,420.361274,40,,,go,,24,
marker,touch,,190,execute_start,,420.362274,,,,,,24,
marker,touch,,191,iti_start,,422.361274,,,,,,24,
visual_fixation,,,192,iti_fixation,,422.364274,,,,,,24,
visual_fixation,grasp,,193,preview_start,,430.361274,,,,,,25,
marker,touch,,194,trial_end,,430.361274,,,,,17.201,24,
marker,grasp,hand,195,trial_start,,430.361274,,5.721,,,,25,
sound_cue,grasp,,196,cue_grasp,,432.361274,10,,,grasp,,25,
sound_go,grasp,,197,go_beep,,438.082274,30,,,go,,25,
marker,grasp,,198,execute_start,,438.083274,,,,,,25,
marker,grasp,,199,iti_start,,440.082274,,,,,,25,
visual_fixation,,,200,iti_fixation,,440.085274,,,,,,25,
visual_fixation,touch,,201,preview_start,,448.082274,,,,,,26,
marker,grasp,,202,trial_end,,448.082274,,,,,17.721,25,
marker,touch,hand,203,trial_start,,448.082274,,5.843,,,,26,
sound_cue,touch,,204,cue_touch,,450.082274,20,,,touch,,26,
sound_go,touch,,205,go_beep,,455.925475,40,,,go,,26,
marker,touch,,206,execute_start,,455.926475,,,,,,26,
marker,touch,,207,iti_start,,457.925475,,,,,,26,
visual_fixation,,,208,iti_fixation,,457.928475,,,,,,26,
visual_fixation,grasp,,209,preview_start,,465.925475,,,,,,27,
marker,touch,,210,trial_end,,465.925475,,,,,17.843,26,
marker,grasp,hand,211,trial_start,,465.925475,,5.595,,,,27,
sound_cue,grasp,,212,cue_grasp,,467.925475,10,,,grasp,,27,
sound_go,grasp,,213,go_beep,,473.520423,30,,,go,,27,
marker,grasp,,214,execute_start,,473.521423,,,,,,27,
marker,grasp,,215,iti_start,,475.520423,,,,,,27,
visual_fixation,,,216,iti_fixation,,475.523423,,,,,,27,
visual_fixation,touch,,217,preview_start,,483.520423,,,,,,28,
marker,grasp,,218,trial_end,,483.520423,,,,,17.595,27,
marker,touch,hand,219,trial_start,,483.520423,,5.052,,,,28,
sound_cue,touch,,220,cue_touch,,485.520423,20,,,touch,,28,
sound_go,touch,,221,go_beep,,490.572372,40,,,go,,28,
marker,touch,,222,execute_start,,490.573372,,,,,,28,
marker,touch,,223,iti_start,,492.572372,,,,,,28,
visual_fixation,,,224,iti_fixation,,492.575372,,,,,,28,
visual_fixation,grasp,,225,preview_start,,500.572372,,,,,,29,
marker,touch,,226,trial_end,,500.572372,,,,,17.052,28,
marker,grasp,hand,227,trial_start,,500.572372,,5.945,,,,29,
sound_cue,grasp,,228,cue_grasp,,502.572372,10,,,grasp,,29,
sound_go,grasp,,229,go_beep,,508.51736,30,,,go,,29,
marker,grasp,,230,execute_start,,508.51836,,,,,,29,
marker,grasp,,231,iti_start,,510.51736,,,,,,29,
visual_fixation,,,232,iti_fixation,,510.52036,,,,,,29,
visual_fixation,touch,,233,preview_start,,518.51736,,,,,,30,
marker,grasp,,234,trial_end,,518.51736,,,,,17.945,29,
marker,touch,hand,235,trial_start,,518.51736,,5.228,,,,30,
sound_cue,touch,,236,cue_touch,,520.51736,20,,,touch,,30,
sound_go,touch,,237,go_beep,,525.745304,40,,,go,,30,
marker,touch,,238,execute_start,,525.746304,,,,,,30,
marker,touch,,239,iti_start,,527.745304,,,,,,30,
visual_fixation,,,240,iti_fixation,,527.748304,,,,,,30,
visual_fixation,grasp,,241,preview_start,,535.745304,,,,,,31,
marker,touch,,242,trial_end,,535.745304,,,,,17.228,30,
marker,grasp,hand,243,trial_start,,535.745304,,5.649,,,,31,
sound_cue,grasp,,244,cue_grasp,,537.745304,10,,,grasp,,31,
sound_go,grasp,,245,go_beep,,543.394766,30,,,go,,31,
marker,grasp,,246,execute_start,,543.395766,,,,,,31,
marker,grasp,,247,iti_start,,545.394766,,,,,,31,
visual_fixation,,,248,iti_fixation,,545.397766,,,,,,31,
visual_fixation,touch,,249,preview_start,,553.394766,,,,,,32,
marker,grasp,,250,trial_end,,553.394766,,,,,17.649,31,
marker,touch,hand,251,trial_start,,553.394766,,5.801,,,,32,
sound_cue,touch,,252,cue_touch,,555.394766,20,,,touch,,32,
sound_go,touch,,253,go_beep,,561.19562,40,,,go,,32,
marker,touch,,254,execute_start,,561.19662,,,,,,32,
marker,touch,,255,iti_start,,563.19562,,,,,,32,
visual_fixation,,,256,iti_fixation,,563.19862,,,,,,32,
visual_fixation,grasp,,257,preview_start,,571.19562,,,,,,33,
marker,touch,,258,trial_end,,571.19562,,,,,17.801,32,
marker,grasp,hand,259,trial_start,,571.19562,,5.486,,,,33,
sound_cue,grasp,,260,cue_grasp,,573.19562,10,,,grasp,,33,
sound_go,grasp,,261,go_beep,,578.681513,30,,,go,,33,
marker,grasp,,262,execute_start,,578.682513,,,,,,33,
marker,grasp,,263,iti_start,,580.681513,,,,,,33,
visual_fixation,,,264,iti_fixation,,580.684513,,,,,,33,
visual_fixation,touch,,265,preview_start,,588.681513,,,,,,34,
marker,grasp,,266,trial_end,,588.681513,,,,,17.486,33,
marker,touch,hand,267,trial_start,,588.681513,,5.055,,,,34,
sound_cue,touch,,268,cue_touch,,590.681513,20,,,touch,,34,
sound_go,touch,,269,go_beep,,595.736274,40,,,go,,34,
marker,touch,,270,execute_start,,595.737274,,,,,,34,
marker,touch,,271,iti_start,,597.736274,,,,,,34,
visual_fixation,,,272,iti_fixation,,597.739274,,,,,,34,
visual_fixation,grasp,,273,preview_start,,605.736274,,,,,,35,
marker,touch,,274,trial_end,,605.736274,,,,,17.055,34,
marker,grasp,hand,275,trial_start,,605.736274,,5.986,,,,35,
sound_cue,grasp,,276,cue_grasp,,607.736274,10,,,grasp,,35,
sound_go,grasp,,277,go_beep,,613.721933,30,,,go,,35,
marker,grasp,,278,execute_start,,613.722933,,,,,,35,
marker,grasp,,279,iti_start,,615.721933,,,,,,35,
visual_fixation,,,280,iti_fixation,,615.724933,,,,,,35,
visual_fixation,touch,,281,preview_start,,623.721933,,,,,,36,
marker,grasp,,282,trial_end,,623.721933,,,,,17.986,35,
marker,touch,hand,283,trial_start,,623.721933,,5.177,,,,36,
sound_cue,touch,,284,cue_touch,,625.721933,20,,,touch,,36,
sound_go,touch,,285,go_beep,,630.898777,40,,,go,,36,
marker,touch,,286,execute_start,,630.899777,,,,,,36,
marker,touch,,287,iti_start,,632.898777,,,,,,36,
visual_fixation,,,288,iti_fixation,,632.901777,,,,,,36,
visual_fixation,grasp,,289,preview_start,,640.898777,,,,,,37,
marker,touch,,290,trial_end,,640.898777,,,,,17.177,36,
marker,grasp,hand,291,trial_start,,640.898777,,5.595,,,,37,
sound_cue,grasp,,292,cue_grasp,,642.898777,10,,,grasp,,37,
sound_go,grasp,,293,go_beep,,648.493362,30,,,go,,37,
marker,grasp,,294,execute_start,,648.494362,,,,,,37,
marker,grasp,,295,iti_start,,650.493362,,,,,,37,
visual_fixation,,,296,iti_fixation,,650.496362,,,,,,37,
visual_fixation,touch,,297,preview_start,,658.493362,,,,,,38,
marker,grasp,,298,trial_end,,658.493362,,,,,17.595,37,
marker,touch,hand,299,trial_start,,658.493362,,5.344,,,,38,
sound_cue,touch,,300,cue_touch,,660.493362,20,,,touch,,38,
sound_go,touch,,301,go_beep,,665.837323,40,,,go,,38,
marker,touch,,302,execute_start,,665.838323,,,,,,38,
marker,touch,,303,iti_start,,667.837323,,,,,,38,
visual_fixation,,,304,iti_fixation,,667.840323,,,,,,38,
visual_fixation,grasp,,305,preview_start,,675.837323,,,,,,39,
marker,touch,,306,trial_end,,675.837323,,,,,17.344,38,
marker,grasp,hand,307,trial_start,,675.837323,,5.904,,,,39,
sound_cue,grasp,,308,cue_grasp,,677.837323,10,,,grasp,,39,
sound_go,grasp,,309,go_beep,,683.741153,30,,,go,,39,
marker,grasp,,310,execute_start,,683.742153,,,,,,39,
marker,grasp,,311,iti_start,,685.741153,,,,,,39,
visual_fixation,,,312,iti_fixation,,685.744153,,,,,,39,
visual_fixation,touch,,313,preview_start,,693.741153,,,,,,40,
marker,grasp,,314,trial_end,,693.741153,,,,,17.904,39,
marker,touch,hand,315,trial_start,,693.741153,,5.758,,,,40,
sound_cue,touch,,316,cue_touch,,695.741153,20,,,touch,,40,
sound_go,touch,,317,go_beep,,701.499225,40,,,go,,40,
marker,touch,,318,execute_start,,701.500225,,,,,,40,
marker,touch,,319,iti_start,,703.499225,,,,,,40,
visual_fixation,,,320,iti_fixation,,703.502225,,,,,,40,
visual_fixation,,,321,final_baseline_start,,711.499225,,,,,,,
marker,touch,,322,trial_end,,711.499225,,,,,17.758,40,
marker,,,323,run_end,,721.499225,,,,,,,
